Data do mutirão;Horário de início;Ambiente ;Estado;Cidade;Nome do local (exemplo: praia de boa viagem);Bairro ou distrito;Ponto de Referência;Extensão aproximada da área de coleta ;Largura aproximada da área de coleta (em metros);Coordenadas geográficas do local de limpeza;Instituição Organizadora;Caráter da instituição;Site institucional;Número aproximado de participantes (total);Número aproximado de participantes crianças;Número aproximado de participantes jovens;Número aproximado de participantes adultos;Número aproximado de participantes idosos;Duração da coleta;Duração da triagem;Duração total (coleta + triagem);Peso total dos resíduos (kg);Quantidade total de itens coletados;Plástico (total);1. Fragmentos de plástico (maiores que 2,5 cm).;2. Brinquedos;3. Canudos;4. Copos/talheres/pratos;5. Embalagens de alimento;6. Escovas de dente;7. Esponjas/espumas;8. Galões;9. Garrafas PET;10. Hastes de cotonete/pirulito;11. Isqueiros;12. Pedaços de isopor (maiores que 2,5 cm);13. Pinos de plástico;14. Sacos e sacolas;15. Tampas/lacres/argolas de garrafa;16. Outros (descreva);Borracha (total);1. Balões e bexigas;2. Câmaras de ar;3. Chinelos/sandálias;4. Luvas;5. Pneus;6. Preservativos (camisinha);7. Outros (descreva);Madeira (total);1. Espetos/varas;2. Fósforos;3. Palitos de dente;4. Palitos de sorvete/picolé;5. Pedaços de madeira;6. Outros (descreva);Produtos têxteis (total);1. Aviamentos (linhas/barbantes);2. Calçados (sapatos, tênis);3. Roupas e pedaços de tecido;4. Outros (descreva);Papel (total);1. Caixas de leite/suco, etc;2. Embalagens de cigarro;3. Embalagens de papel;4. Jornais/panfletos/revistas/livros;5. Papelão;6. Pedaços de papel/guardanapos;7. Outros (Descreva)2;Metal (total);1. Anéis de lacre de latas de bebidas;2. Latas de bebidas;3. Latas (comida, desodorante, óleo, tinta, etc.);4. Pedaços de metal;5. Tampas de metal;6. Outros (descreva)2;Vidro (total);1. Copos/xícaras/pratos;2. Garrafas;3. Lâmpadas;4. Pedaços de cerâmica;5. Pedaços de vidro;6. Potes de vidro ou cerâmica;7. Outros (descreva)3;Materiais de Pesca (total);1. Anzóis;2. Boias;3. Linhas de pesca;4. Pedaços de corda;5. Redes/pedaços de rede;6. Outros (descreva)5;Outros Resíduos (total);1. Bitucas/guimbas/filtros de cigarro;2. Cera de vela/parafina;3. Eletroeletrônicos (TV, celular, computador, etc.);4. Entulhos/material de construção;5. Fraldas e absorventes;6. Seringas;7. Outros (descreva)6;Animais;Animais Vivos;Animais Mortos;Especificar animais;Qual foi a destinação dos resíduos coletados2;Eixo da Agenda Ambiental Urbana
15/09/2019;10:00:00;Cidade;RS;Porto Alegre;Caminhada do Parque Moinhos de Vento e Parque Farroupilha até Shopping Total;Moinhos de Vento / Farroupilha / Floresta;Parque Moinhos de Vento / Parque Farroupilha e Shopping Total;3000;5;;Instituto Ecosurf / Impacta o Mundo / Greenpeace Poa / TodaVida;Organização da sociedade civil;;160;10;50;100;20;60 minutos;2 horas;03:00:00;64;14235;382;;;66;260;;1;;;;;;55;;;;Plastico (geral) - 1729 / Canetas de escrever - 10;0;;;;;;;borrachas (geral) - 66 / sola de sapato - 01;27;;;;;27;escova de cabelo - 01;57;19;1;37;cinto - 01;272;;64;67;;141;;Papel (vários) - 894;219;;;;;219;metal (vários) - 273;0;;;;;;;Vidro (geral) - 95;0;;;;;;;10194;10189;;1;;1;3;Fios elétricos 03 / pilhas 02 / cabo usb 01 / chicletes 08;0;;;;Cooperativa de catadores;Rios +Limpos
21/09/2019;08:00:00;Cidade;MG;Poços de Caldas;5 Pontos de Ação na Cidade;Centro, Jardim Primavera, Country Club e Santa Ângela;Casa Carneiro, Fonte dos Amores, Antiga Fábrica de Farinha, PEV dos Bombeiros, Ginásio Avenida Irradiação;2000;30;;Instituto Lixo Zero Brasil Poços de Caldas;Organização da sociedade civil;;154;3;135;16;0;90 minutos;Não informado;01:30:00;1550;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
21/09/2019;07:00:00;Cidade;MG;Ouro Fino;Avenida Delfim Moreira, Avenida Marechal Deodoro, Escola Estadual Francisco Ribeiro da Fonseca;Bairro;Presídio de Ouro Fino;5000;4000;;ACAMARE (Associação de Catadores dos Materiais Recicláveis);Iniciativa privada;;1270;700;250;300;20;Mais de 90 minutos;4 horas ou mais;10:00:00;30000;45;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
21/09/2019;07:30:00;Cidade;SC;Brusque;Bairros da cidade: Centro, Steffen, Sta Terezinha e imediações do Fort Atacadista/pavilhão Maria Celina;cidade;Havan;50000;8;;Coletivo Plantando Água;Organização da sociedade civil;;51;4;35;13;3;Mais de 90 minutos;1 hora;05:00:00;483;0;0;;;;;;;;;;;;;;;;14,5 kg bitucas;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;1 parabrisa inteiro;0;;;;;;;0;;;;;;;;1;;1;capivara;Serviço de limpeza urbana;Rios +Limpos
21/09/2019;09:30:00;Parque;RS;Passo Fundo;Bosque Lucas Araújo;Bosque Lucas Araújo;Bosque Lucas Araújo;300;10;;Instituto Ecosurf;Organização da sociedade civil;;33;1;32;32;0;Mais de 90 minutos;Não informado;02:00:00;0;1401;169;;;;;;;;;101;;;4;;64;;Plástico duro 110;4;;;2;;2;;;16;6;;;;10;;125;;63;62;Cobertores 3 / almofadas 2 / corda 4;0;;;;;;;;36;;26;;10;;Porta de geladeira 1 / chaleira 1 / faca grande de cozinha 1;232;;221;6;;5;;;0;;;;;;;471;452;1;5;8;5;;Peças de carro 178 / pedaços de carro 3 / boias combustível carro 19 / guarda-chuva 1 / despachos e oferendas 20 / canhão de luz 1;11;;11;10 cachorros e 1 gato;Serviço de limpeza urbana;Rios +Limpos
21/09/2019;10:00:00;Lago/Lagoa;DF;Brasilia;Lago Paranoá - várias margens;Asa Sul;Clube Naval;11000;5;;Ministério do Meio Ambiente;Poder público;https://www.gov.br/mma/pt-br;4;0;0;4;0;Mais de 90 minutos;1 hora;02:30:00;61;283;139;54;1;0;16;25;0;2;0;15;0;0;13;0;9;4;1;4;3;0;0;0;0;1;cabo submarino 1;2;0;0;0;0;2;0;6;1;0;5;0;12;4;3;1;0;0;4;0;41;0;28;1;8;4;4;44;0;18;0;0;26;0;0;2;0;1;1;0;0;00:00:00;27;11;0;0;15;1;0;0;0;0;0;;Não Informado;Rios +Limpos
21/09/2019;08:00:00;Lago/Lagoa;MG;Montes Claros;Lagoa do interlagos;Interlagos;Lagoa;3000;300;;Lax Serviços Ambientais;Iniciativa privada;;240;60;80;90;10;Mais de 90 minutos;3 horas;06:00:00;1450;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
21/09/2019;08:30:00;Rural;SP;Presidente Prudente;Linha férrea (Estação);Centro;Estação;3000;300;;Rede Amor e Esperança;Organização da sociedade civil;;100;10;80;20;3;Mais de 90 minutos;1 hora;03:00:00;500;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
21/09/2019;09:00:00;Cidade;SP;Monte Azul Paulista;Terreno baldio no cruzamento da Rua Angelo Sasso com a Avenida Liscano Coelho Blanco, e a Praça do Centenário.;Centenário;Centro de Eventos Centenário.;200;100;;Maria Eugênia Gonçalez Alvares;Voluntária;;17;10;2;5;0;Mais de 90 minutos;1 hora;03:00:00;30;350;237;50;0;20;15;20;0;5;0;2;0;0;10;52;63;0;embalagens de ketchup, maionese e mostarda utilizadas em lanchonetes;3;0;0;3;0;0;0;direção de caminhão;15;0;0;0;0;15;resíduos de construção civil que continham pedaços de madeira;20;0;4;16;malas de viagem;0;0;0;0;0;0;0;;1;0;0;0;1;0;uma lata de tinta;20;0;5;0;10;5;0;foram encontradas muitas garrafas de vidro de cerveja daquelas descartáveis, e as cerâmicas, todas relacionadas com construção civil;0;0;0;0;0;0;;48;35;0;1;10;2;0;foram encontrados vários pontos de descarte de material de construção, o número que eu mencionei, se referem a quantidade de focos de descarte;4;0;4;duas galinhas mortas, um gato e uma tartaruga;Serviço de limpeza urbana;Rios +Limpos
21/10/2019;08:00:00;Rio;AM;Manaus;Praia da Ponta Negra;Ponta Negra;Afiteatro da Ponta Negra;;;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;350;10;150;180;20;Mais de 90min;1h;02:00:00;200;20;917;200;10;100;200;100;0;0;0;120;62;0;0;0;80;45;;300;0;0;0;150;150;0;;68;1;5;0;50;12;;0;0;0;0;;32;2;5;9;2;5;9;;111;60;35;2;5;9;;15;6;3;0;0;4;2;;0;0;0;0;0;0;;0;0;0;0;0;0;0;;0;0;0;;Serviço de limpeza urbana;Rios +Limpos
